	TH2OC	ACLLWR	TSWR1	TSWR2	TSWR3	TFRC2		VDIFF_D	TFRC1	TDISSD	TDISSZ		TDISST	TPOFMT	VDIFF_LAMM 	VDIFF_B	VDIFF_C	TDISSQ
	radmod	radmod 	radmod 	radmod 	radmod 	plasim 		fluxmod	plasim 	plasim 	plasim 		plasim 	radmod 	fluxmod		fluxmod	fluxmod	plasim
h001	0.03	0.132	0.0832	0.0494	0.00374	10713600	5.4	1589760	10*2.64	10*8.36		10*38.08	0.76	224	5	3.8	10*1
h002	0.018	0.14	0.0522	0.0858	0.00638	12096000	6.2	1313280	10*2.48	10*11		10*42.56	1	160	4.2	4.2	10*0.76
h003	0.032	0.092	0.077	0.091	0.00462	10022400	3.4	2142720	10*1.84	10*9.24		10*47.04	0.68	211.2	4.6	5.8	10*1.08
h004	0.028	0.124	0.0646	0.0806	0.0055	6566400		7	2280960	10*2.8	10*10.12	10*56		1.4	108.8	6.6	4.6	10*1.24
h005	0.022	0.076	0.0584	0.0702	0.00726	8640000		4.6	1175040	10*2	10*11.88	10*51.52	1.16	172.8	3.8	6.2	10*1.4
h006	0.024	0.108	0.108	0.0546	0.0077	7948800		3.8	1728000	10*2.16	10*7.48		10*78.4		1.24	147.2	3.4	5.4	10*0.84
h007	0.016	0.1	0.0894	0.0598	0.00594	5875200		4.2	2004480	10*2.32	10*15.4		10*69.44	0.92	185.6	5.8	6.6	10*0.68
h008	0.02	0.084	0.0708	0.0754	0.00418	9331200		5.8	1866240	10*1.52	10*14.52	10*73.92	1.08	198.4	7	3.4	10*1.16
h009	0.026	0.116	0.1018	0.0442	0.00506	7257600		6.6	1451520	10*1.68	10*12.76	10*60.48	1.32	121.6	5.4	7	10*0.92
h010	0.034	0.068	0.0956	0.065	0.00682	11404800	5	2419200	10*1.36	10*13.64	10*64.96	0.84	134.4	6.2	5	10*1.32
